,items,support,ordered_statistics
23,"frozenset({'8 GB', '12 inch screen', '750 GB', 'Intel Core i5'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'12 inch screen', '750 GB', 'Intel Core i5'}), items_add=frozenset({'8 GB'}), confidence=1.0, lift=5.153846153846153)]"
24,"frozenset({'Intel Core i5', '750 GB', '15 inch screen', '2 GB '})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'15 inch screen', '2 GB '}), items_add=frozenset({'750 GB', 'Intel Core i5'}), confidence=0.33333333333333337, lift=5.583333333333334), OrderedStatistic(items_base=frozenset({'750 GB', 'Intel Core i5'}), items_add=frozenset({'15 inch screen', '2 GB '}), confidence=0.25, lift=5.583333333333334), OrderedStatistic(items_base=frozenset({'750 GB', 'Intel Core i5', '2 GB '}), items_add=frozenset({'15 inch screen'}), confidence=1.0, lift=3.5263157894736845)]"
25,"frozenset({'320 GB', 'Intel Core i3', '4 GB', '15 inch screen'})",0.029850746268656716,"[OrderedStatistic(items_base=frozenset({'Intel Core i3', '15 inch screen'}), items_add=frozenset({'320 GB', '4 GB'}), confidence=1.0, lift=4.466666666666667), OrderedStatistic(items_base=frozenset({'Intel Core i3', '4 GB', '15 inch screen'}), items_add=frozenset({'320 GB'}), confidence=1.0, lift=3.5263157894736845)]"
26,"frozenset({'320 GB', 'Intel Core i3', '15 inch screen', 'nan'})",0.029850746268656716,"[OrderedStatistic(items_base=frozenset({'Intel Core i3', '15 inch screen'}), items_add=frozenset({'320 GB', 'nan'}), confidence=1.0, lift=3.5263157894736845), OrderedStatistic(items_base=frozenset({'Intel Core i3', '15 inch screen', 'nan'}), items_add=frozenset({'320 GB'}), confidence=1.0, lift=3.5263157894736845)]"
27,"frozenset({'Intel Core i5', '4 GB', '15 inch screen', '750 GB'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'4 GB', 'Intel Core i5', '750 GB'}), items_add=frozenset({'15 inch screen'}), confidence=1.0, lift=3.5263157894736845)]"
28,"frozenset({'Intel Core i7', '4 GB', '15 inch screen', '750 GB'})",0.014925373134328358,"[OrderedStatistic(items_base=frozenset({'Intel Core i7', '4 GB', '15 inch screen'}), items_add=frozenset({'750 GB'}), confidence=1.0, lift=3.941176470588235)]"
29,"frozenset({'Intel Core i7', '8 GB', '750 GB', '15 inch screen'})",0.05970149253731343,"[OrderedStatistic(items_base=frozenset({'15 inch screen'}), items_add=frozenset({'Intel Core i7', '8 GB', '750 GB'}), confidence=0.2105263157894737, lift=3.5263157894736845), OrderedStatistic(items_base=frozenset({'750 GB'}), items_add=frozenset({'Intel Core i7', '8 GB', '15 inch screen'}), confidence=0.23529411764705882, lift=3.9411764705882355), OrderedStatistic(items_base=frozenset({'8 GB'}), items_add=frozenset({'Intel Core i7', '750 GB', '15 inch screen'}), confidence=0.30769230769230765, lift=4.123076923076923), OrderedStatistic(items_base=frozenset({'Intel Core i7'}), items_add=frozenset({'8 GB', '750 GB', '15 inch screen'}), confidence=0.33333333333333337, lift=4.466666666666668), OrderedStatistic(items_base=frozenset({'750 GB', '15 inch screen'}), items_add=frozenset({'Intel Core i7', '8 GB'}), confidence=0.5, lift=5.583333333333334), OrderedStatistic(items_base=frozenset({'8 GB', '15 inch screen'}), items_add=frozenset({'Intel Core i7', '750 GB'}), confidence=0.6666666666666667, lift=5.583333333333334), OrderedStatistic(items_base=frozenset({'Intel Core i7', '15 inch screen'}), items_add=frozenset({'8 GB', '750 GB'}), confidence=0.8, lift=7.6571428571428575), OrderedStatistic(items_base=frozenset({'8 GB', '750 GB'}), items_add=frozenset({'Intel Core i7', '15 inch screen'}), confidence=0.5714285714285714, lift=7.6571428571428575), OrderedStatistic(items_base=frozenset({'Intel Core i7', '750 GB'}), items_add=frozenset({'8 GB', '15 inch screen'}), confidence=0.5, lift=5.583333333333334), OrderedStatistic(items_base=frozenset({'Intel Core i7', '8 GB'}), items_add=frozenset({'750 GB', '15 inch screen'}), confidence=0.6666666666666667, lift=5.583333333333334), OrderedStatistic(items_base=frozenset({'8 GB', '750 GB', '15 inch screen'}), items_add=frozenset({'Intel Core i7'}), confidence=0.8, lift=4.466666666666667), OrderedStatistic(items_base=frozenset({'Intel Core i7', '750 GB', '15 inch screen'}), items_add=frozenset({'8 GB'}), confidence=0.8, lift=4.1230769230769235), OrderedStatistic(items_base=frozenset({'Intel Core i7', '8 GB', '15 inch screen'}), items_add=frozenset({'750 GB'}), confidence=1.0, lift=3.941176470588235), OrderedStatistic(items_base=frozenset({'Intel Core i7', '8 GB', '750 GB'}), items_add=frozenset({'15 inch screen'}), confidence=1.0, lift=3.5263157894736845)]"
30,"frozenset({'8 GB', '750 GB', '15 inch screen', 'nan'})",0.07462686567164178,"[OrderedStatistic(items_base=frozenset({'750 GB'}), items_add=frozenset({'8 GB', '15 inch screen', 'nan'}), confidence=0.2941176470588235, lift=3.284313725490196), OrderedStatistic(items_base=frozenset({'8 GB'}), items_add=frozenset({'750 GB', '15 inch screen', 'nan'}), confidence=0.3846153846153846, lift=3.221153846153846), OrderedStatistic(items_base=frozenset({'750 GB', '15 inch screen'}), items_add=frozenset({'8 GB', 'nan'}), confidence=0.625, lift=3.2211538461538463), OrderedStatistic(items_base=frozenset({'8 GB', '15 inch screen'}), items_add=frozenset({'750 GB', 'nan'}), confidence=0.8333333333333333, lift=3.2843137254901955), OrderedStatistic(items_base=frozenset({'750 GB', 'nan'}), items_add=frozenset({'8 GB', '15 inch screen'}), confidence=0.2941176470588235, lift=3.284313725490196), OrderedStatistic(items_base=frozenset({'8 GB', 'nan'}), items_add=frozenset({'750 GB', '15 inch screen'}), confidence=0.3846153846153846, lift=3.221153846153846), OrderedStatistic(items_base=frozenset({'750 GB', '15 inch screen', 'nan'}), items_add=frozenset({'8 GB'}), confidence=0.625, lift=3.2211538461538463), OrderedStatistic(items_base=frozenset({'8 GB', '15 inch screen', 'nan'}), items_add=frozenset({'750 GB'}), confidence=0.8333333333333333, lift=3.2843137254901955)]"
31,"frozenset({'Intel Core i7', '750 GB', '15 inch screen', 'nan'})",0.07462686567164178,"[OrderedStatistic(items_base=frozenset({'750 GB'}), items_add=frozenset({'Intel Core i7', '15 inch screen', 'nan'}), confidence=0.2941176470588235, lift=3.941176470588235), OrderedStatistic(items_base=frozenset({'Intel Core i7'}), items_add=frozenset({'750 GB', '15 inch screen', 'nan'}), confidence=0.41666666666666663, lift=3.489583333333333), OrderedStatistic(items_base=frozenset({'750 GB', '15 inch screen'}), items_add=frozenset({'Intel Core i7', 'nan'}), confidence=0.625, lift=3.4895833333333335), OrderedStatistic(items_base=frozenset({'Intel Core i7', '15 inch screen'}), items_add=frozenset({'750 GB', 'nan'}), confidence=1.0, lift=3.941176470588235), OrderedStatistic(items_base=frozenset({'750 GB', 'nan'}), items_add=frozenset({'Intel Core i7', '15 inch screen'}), confidence=0.2941176470588235, lift=3.941176470588235), OrderedStatistic(items_base=frozenset({'Intel Core i7', 'nan'}), items_add=frozenset({'750 GB', '15 inch screen'}), confidence=0.41666666666666663, lift=3.489583333333333), OrderedStatistic(items_base=frozenset({'750 GB', '15 inch screen', 'nan'}), items_add=frozenset({'Intel Core i7'}), confidence=0.625, lift=3.4895833333333335), OrderedStatistic(items_base=frozenset({'Intel Core i7', '15 inch screen', 'nan'}), items_add=frozenset({'750 GB'}), confidence=1.0, lift=3.941176470588235)]"
32,"frozenset({'Intel Core i7', '8 GB', '15 inch screen', 'nan'})",0.05970149253731343,"[OrderedStatistic(items_base=frozenset({'8 GB'}), items_add=frozenset({'Intel Core i7', '15 inch screen', 'nan'}), confidence=0.30769230769230765, lift=4.123076923076923), OrderedStatistic(items_base=frozenset({'Intel Core i7'}), items_add=frozenset({'8 GB', '15 inch screen', 'nan'}), confidence=0.33333333333333337, lift=3.7222222222222228), OrderedStatistic(items_base=frozenset({'8 GB', '15 inch screen'}), items_add=frozenset({'Intel Core i7', 'nan'}), confidence=0.6666666666666667, lift=3.7222222222222228), OrderedStatistic(items_base=frozenset({'Intel Core i7', '15 inch screen'}), items_add=frozenset({'8 GB', 'nan'}), confidence=0.8, lift=4.1230769230769235), OrderedStatistic(items_base=frozenset({'8 GB', 'nan'}), items_add=frozenset({'Intel Core i7', '15 inch screen'}), confidence=0.30769230769230765, lift=4.123076923076923), OrderedStatistic(items_base=frozenset({'Intel Core i7', 'nan'}), items_add=frozenset({'8 GB', '15 inch screen'}), confidence=0.33333333333333337, lift=3.7222222222222228), OrderedStatistic(items_base=frozenset({'8 GB', '15 inch screen', 'nan'}), items_add=frozenset({'Intel Core i7'}), confidence=0.6666666666666667, lift=3.7222222222222228), OrderedStatistic(items_base=frozenset({'Intel Core i7', '15 inch screen', 'nan'}), items_add=frozenset({'8 GB'}), confidence=0.8, lift=4.1230769230769235)]"
